Entity,Year,Code,Renewables (% equivalent primary energy),increase,world_avg,world_avg_diff,world_avg_change,Hydro (% equivalent primary energy),Wind (% equivalent primary energy),Solar (% equivalent primary energy),Other Renewables (% equivalent primary energy),Hydro (% renewable),Wind (% renewable),Solar (% renewable),Others (% renewable)
France,1966,FRA,11.602393,1.017408999999999,6.5335774,5.068815599999999,7.289503599999999,11.509577,0.0,0.0,0.09281599999999912,99.2,0.0,0.0,0.8
Germany,1966,DEU,1.7416129,0.1271099,6.5335774,-4.791964500000001,13.738955599999997,1.7416129,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Greece,1966,GRC,5.9037366,2.9111118,6.5335774,-0.6298408000000002,11.283015099999998,5.9037366,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hong Kong,1966,HKG,0.0,0.0,6.5335774,-6.5335774,7.364726736000001,0.0,0.0,0.0,0.0,,,,
Hungary,1966,HUN,0.15773733,0.037843470000000004,6.5335774,-6.375840070000001,2.3947443900000005,0.15773733,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Iceland,1966,ISL,23.200014,-1.7839720000000021,6.5335774,16.666436599999997,57.618531399999995,23.200014,0.0,0.0,0.0,100.0,0.0,0.0,0.0
India,1966,IND,9.270712,0.12125699999999995,6.5335774,2.737134599999999,12.489061999999999,9.270712,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Indonesia,1966,IDN,8.364608,1.9786800000000007,6.5335774,1.8310306,12.0188188,8.364608,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Iran,1966,IRN,5.1514864,-0.07358960000000003,6.5335774,-1.3820910000000008,10.951071,5.1514864,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Iraq,1966,IRQ,1.0816305,0.1727367999999999,6.5335774,-5.4519469,11.266390400000002,1.0816305,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Ireland,1966,IRL,3.3116634,-0.8051622000000003,6.5335774,-3.2219140000000004,13.330302999999997,3.3116634,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Israel,1966,ISR,0.0,0.0,6.5335774,-6.5335774,3.8796991000000007,0.0,0.0,0.0,0.0,,,,
Italy,1966,ITA,13.78976,-0.6100630000000002,6.5335774,7.256182599999999,11.151931300000001,12.821482,0.0,0.0,0.9682779999999998,93.0,0.0,0.0,7.0
Japan,1966,JPN,11.651081,-0.6840060000000001,6.5335774,5.117503599999999,9.653628,11.651081,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Kuwait,1966,KWT,0.0,0.0,6.5335774,-6.5335774,7.473425700000001,0.0,0.0,0.0,0.0,,,,
Luxembourg,1966,LUX,0.57401013,-0.03722106999999997,6.5335774,-5.959567270000001,2.33356695,0.57401013,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Malaysia,1966,MYS,5.346494,0.1003734999999999,6.5335774,-1.1870834000000006,8.6250236,5.346494,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Mexico,1966,MEX,9.63311,0.6983870000000003,6.5335774,3.0995326,9.911286999999998,9.63311,0.0,0.0,0.0,100.0,0.0,0.0,0.0
